Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
SOUTHWEST CORE REGIONAL OFFICE,793,ARLINGTON,1,Public,Shelby,Arlington High,chris.duncan@acsk-12.org,Principal: Chris Duncan,A,(901) 867-1541,(901) 867-1546,"9,10,11,12","5475 Airline RD, Arlington, TN 38002",POINT (-89.6698715 35.2742446),-89.6698715,35.2742446
SOUTHWEST CORE REGIONAL OFFICE,9570,MADISON COUNTY PRIVATE SCHOOLS,9001,Private,Madison,Augustine School,dnelson@augustineschool.com,Principal: Donna Nelson Landon Preston,A,(731) 660-6822,(731) 660-6833,"PK,K,1,2,3,4,5,6,7,8,9,10,11","1171 Old Humboldt RD, Jackson, TN 38305",POINT (-88.862674 35.7200656),-88.862674,35.7200656
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,9,Public,Knox,Austin East High/Magnet,nathan.langlois@knoxschools.org,Principal: Nathan Langlois,A,(865) 594-3792,(865) 594-1165,"9,10,11,12","2800 M L King Jr AVE, Knoxville, TN 37914",POINT (-83.88506919999999 35.98877470000001),-83.88506919999999,35.98877470000001
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2025,Public,Shelby,Avon School,BlandMcKissickMB@scsk12.org,Principal: Margaret McKissick-Larry,A,(901) 416-2124,(901) 416-2126,"K,1,2,3,4,5,6,7,8,9,10,11,12","310 Avon Rd, Memphis, TN 38117",POINT (-89.90190679999999 35.1394822),-89.90190679999999,35.1394822
EAST TENNESSEE CORE REGIONAL OFFICE,9870,UNION COUNTY PRIVATE SCHOOLS,9786,Private,Union,Axis Academy,todd.sparrow@axisacademy.org,Principal: Todd Sparrow,A,(865) 269-7500,,"K,1,2,3,4,5,6,7,8,9,10,11,12","P.O. Box 1054, Maynardville, TN 37807",POINT (-83.89209529999999 36.1904936),-83.8920953,36.1904936
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2030,Public,Shelby,B. T. Washington High,harristr@scsk12.org,Principal: Tara Harris,A,(901) 416-7240,(615) 416-7228,"6,7,8,9,10,11,12","715 S Lauderdale St, Memphis, TN 38126",POINT (-90.0449058 35.1277238),-90.0449058,35.1277238
MID CUMBERLAND CORE REGIONAL OFFICE,950,WILSON COUNTY,87,Public,Wilson,Barry Tatum Academy,cavens@wcschools.com,Principal: Shaun Caven,A,(615) 453-3400 ext. 2,(615) 453-3401,"K,1,2,3,4,5,6,7,8,9,10,11,12","351 Stumpy LN, Lebanon, TN 37087",POINT (-86.3058994 36.1673859),-86.3058994,36.1673859
SOUTHWEST CORE REGIONAL OFFICE,794,BARTLETT,25,Public,Shelby,Bartlett High School,tjones@bartlettschools.org,Principal: Tim Jones,A,(901) 373-2620,(901) 373-2624,"9,10,11,12","5688 Woodlawn AVE, Bartlett, TN 38134",POINT (-89.8733139 35.2085987),-89.8733139,35.2085987
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9006,Private,Williamson,Battle Ground Academy,will.kesler@mybga.org,Principal: Will Kessler,A,(615) 794-3501,(615) 790-3933,"K,1,2,3,4,5,6,7,8,9,10,11,12","336 Ernest Rice LN, Franklin, TN 37069",POINT (-86.85647019999999 35.9498399),-86.85647019999999,35.9498399
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9015,Private,Hamilton,Baylor School,sawilson@baylorschool.org,Principal: Scott Wilson,A,(423) 267-8505,,"6,7,8,9,10,11,12","171 Baylor School RD, Chattanooga, TN 37401",POINT (-85.33518549999999 35.0857874),-85.3351855,35.0857874
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9823,Private,Hamilton,Beacon Academy,principal@beaconacademy.us,Principal: Brigett Pangkey,A,,,"PK,K,1,2,3,4,5,6,7,8,9,10,11","3005 Ooltewah Ringgold RD, Ooltewah, TN 37363",POINT (-85.08376989999999 35.029063),-85.0837699,35.029063
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,17,Public,Knox,Bearden High School,debbie.sayers@knoxschools.org,Principal: Debbie Sayers,A,(865) 539-7800,(865) 539-7805,"9,10,11,12","8352 Kingston PIKE, Knoxville, TN 37919",POINT (-84.05699899999999 35.919853),-84.05699899999999,35.919853
MID CUMBERLAND CORE REGIONAL OFFICE,830,SUMNER COUNTY,7,Public,Sumner,Beech Sr High School,kenneth.powell@sumnerschools.org,Principal: Kenneth Powell,A,(615) 824-6200,(615) 264-6553,"9,10,11,12","3126 Long Hollow PIKE, Hendersonville, TN 37075",POINT (-86.6209375 36.3721152),-86.6209375,36.3721152
MID CUMBERLAND CORE REGIONAL OFFICE,9751,MURFREESBORO PRIVATE SCHOOLS,9011,Private,Rutherford,Bellwood Christian Academy,,Principal: Douglas Winstead,A,(615) 890-5553,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1140 Middle Tennessee BLVD, Murfreesboro, TN 37130",POINT (-86.3877519 35.8268357),-86.3877519,35.8268357
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,30,BENTON COUNTY,4,Private,Benton,Benton County Academy,shelia.barnes@bcos.org,Principal: Shelia Barnes,A,(731) 584-1372,(731) 584-3215,"9,10,11,12","175 Briarwood AVE, Camden, TN 38320",POINT (-88.11195409999999 36.0702409),-88.11195409999999,36.0702409
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9765,Private,Williamson,Benton Hall Academy,,Principal: James F Purcell,A,,,"3,4,5,6,7,8,9,10,11,12","5555 Franklin Pike, Nashville, TN 37220",POINT (-86.78534599999999 36.0410108),-86.78534599999999,36.0410108
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9020,Private,Hamilton,Berean Academy,harmonj@bereanacademy.net,Principal: Joey Harmon,A,(423) 877-1288,(423) 875-5965,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","441 Berean LN, Hixson, TN 37343",POINT (-85.2521143 35.1450119),-85.2521143,35.1450119
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9011,Private,Knox,Berean Christian School,rachelmccarty@berean.me,Principal: Terri Lakin and Mark Little,A,(865) 521-6054,(888) 788-1465,"P3,K,1,2,3,4,5,6,7,8,9,10,11","2329 Prosser RD, Knoxville, TN 37914",POINT (-83.89268609999999 36.0084769),-83.89268609999999,36.0084769
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9180,Private,Hamilton,Bethel Christian Academy,ellenf@bethelbiblevillage.org,Principal: Ellen Flemmons,A,(423) 842-5757,,"9,10,11,12","3001 Hamill RD, Hixson, TN 37343",POINT (-85.2142484 35.1326295),-85.2142484,35.1326295
MID CUMBERLAND CORE REGIONAL OFFICE,9750,RUTHERFORD COUNTY PRIVATE SCHOOLS,9012,Private,Rutherford,Bible Church Academy,biblechurchacademy@yahoo.com,Principal: James Tipton,A,(615) 895-4761,,"K,1,2,3,4,5,6,7,8,9,10,11,12","6371 Bradeyville PIKE, Murfreesboro, TN 37127",POINT (-86.2986458 35.784987),-86.2986458,35.784987
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,30,BENTON COUNTY,10,Public,Benton,Big Sandy School,marty.caruthers@bcos.org,Principal: Marty Caruthers,A,(731) 593-3221,(731) 593-3245,"K,1,2,3,4,5,6,7,8,9,10,11,12","13305 Highway 69 A, Big Sandy, TN 38221",POINT (-88.08606879999999 36.2282206),-88.08606879999999,36.2282206
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,4,Public,Rutherford,Blackman High School,justusl@rcschools.net,Principal: Dr. Leisa Justus,A,(615) 904-3850,(615) 904-3851,"9,10,11,12","3956 Blaze DR, Murfreesboro, TN 37128",POINT (-86.47369429999999 35.8572316),-86.47369429999999,35.8572316
MID CUMBERLAND CORE REGIONAL OFFICE,9830,SUMNER COUNTY PRIVATE SCHOOL,9325,Private,Sumner,Bledsoe Academy,renee.maxwell@youthopportunity.com,Principal: Renee Maxwell,A,(615) 230-2937 ext. 272,,"7,8,9,10,11,12","220 South Hickory AVE, Gallatin, TN 37066",POINT (-86.4499225 36.3856818),-86.4499225,36.3856818
UPPER CUMBERLAND CORE REGIONAL OFFICE,40,BLEDSOE COUNTY,5,Public,Bledsoe,Bledsoe County High School,mmosley@bledsoecountyschools.org,Principal: Mark Mosley,A,(423) 447-6851,(423) 447-6580,"9,10,11,12","877 Main ST, Pikeville, TN 37367",POINT (-85.21579180000001 35.5864305),-85.2157918,35.5864305
MID CUMBERLAND CORE REGIONAL OFFICE,986,TENNESSEE STATE BOARD OF EDUCATION,8005,Public Charter,Shelby,Bluff City High School,lameika.pegues@greendot.org,Principal: Lameika Pegues,A,(901) 881-7375,(901) 234-0213,"9,10,11,12","4100 Ross RD, Memphis, TN 38115",POINT (-89.83940439999999 35.0365177),-89.83940439999999,35.0365177
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,35,Public,Shelby,Bolton High,youngsl@scsk12.org,Principal: Shanda L. Gnintedem,A,(901) 873-8150,,"9,10,11,12","7323 Brunswick Rd, Arlington, TN 38002",POINT (-89.76103979999999 35.3243775),-89.76103979999999,35.3243775
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9706,Private,Shelby,Bowie Reading and Learning Center,,Principal: Dennis H. Bowie,A,(901) 474-1081,,"4,5,6,7,8,9,10,11,12","2550 Ridgeway RD, Memphis, TN 38119",POINT (-89.8585403 35.0792067),-89.8585403,35.0792067
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9025,Private,Hamilton,Boyd-Buchanan School,rhood@bbschool.org,Principal: Renee Hood,A,(423) 624-9064,,"9,10,11,12","4650 Buccaneer TRL, Chattanooga, TN 37411",POINT (-85.213364 35.0402852),-85.213364,35.0402852
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,274,BRADFORD,5,Public,Gibson,Bradford High School,spaschall@bradfordspecial.com,Principal: Shane Paschall,A,(731) 742-3729,(731) 742-3088,"7,8,9,10,11,12","136 Highway 45 S, Bradford, TN 38316",POINT (-88.00432219999999 42.2603721),-88.00432219999999,42.2603721
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,60,BRADLEY COUNTY,20,Public,Bradley,Bradley Central High School,pspangler@bradleyschools.org,Principal: Patrick Spangler,A,(423) 476-0650,(423) 476-0613,"N,9,10,11,12","1000 South Lee Highway, Cleveland, TN 37311",POINT (-84.8900129 35.1588553),-84.8900129,35.1588553
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,60,BRADLEY COUNTY,105,Public,Bradley,Bradley County Virtual School,triggs@bradleyschools.org,Principal: Tim Riggs,A,(423) 709-8414,,"K,1,2,3,4,5,6,7,8,9,10,11,12","301 Keith ST, Cleveland, TN 37311",POINT (-84.8840087 35.1600046),-84.8840087,35.1600046
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,21,Public,Hamilton,Brainerd High School,James_Christopher@hcde.org,Principal: Christopher James,A,(423) 855-2615,(423) 855-2651,"9,10,11,12","1020 N Moore RD, Chattanooga, TN 37411",POINT (-85.21846219999999 35.0282094),-85.21846219999999,35.0282094
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9010,Private,Williamson,Brentwood Academy,admission@brentwoodacademy.com,Principal: Curt Masters,A,(615) 373-0611,(615) 377-3709,"6,7,8,9,10,11,12","219 Granny White PIKE, Brentwood, TN 37027",POINT (-86.81889609999999 36.0330304),-86.81889609999999,36.0330304
MID CUMBERLAND CORE REGIONAL OFFICE,940,WILLIAMSON COUNTY,12,Public,Williamson,Brentwood High School,kevink@wcs.edu,Principal: Mr. Kevin Keidel,A,(615) 472-4220,(615) 472-4241,"N,9,10,11,12","5304 Murray LN, Brentwood, TN 37027",POINT (-86.8159148 36.0161382),-86.8159148,36.0161382
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9012,Private,Shelby,Briarcrest Christian School,CWSwatley@briarcrest.com,Principal: Caron Swatley,A,(901) 765-4600,(901) 765-4667,"PK,PS,P4,P3,K,1,2,3,4,5,6,7,8,9,10,11,12","76 S. Houston Levee RD, Eads, TN 38028",POINT (-89.7323473 35.1209968),-89.7323473,35.1209968
SOUTHWEST CORE REGIONAL OFFICE,840,TIPTON COUNTY,11,Private,Tipton,Brighton High School,bnorton@tipton-county.com,Principal: Dr. Brian Norton,A,(901) 837-5800,(901) 837-5829,"9,10,11,12","8045 Hwy 51 South, Brighton, TN 38011",POINT (-89.74410449999999 35.4780174),-89.74410449999999,35.4780174
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9837,Private,Knox,Brightworth Academy,holly.a@brightworthacademy.com,Principal: Holly Apodaca,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","6513 Kingston PIKE, Knoxville, TN 37919",POINT (-84.0109564 35.932273),-84.0109564,35.932273
SOUTHWEST CORE REGIONAL OFFICE,9794,BARTLETT PRIVATE SCHOOLS,9020,Private,Shelby,Brunswick Day School / Lakeside,marceia.ashe@uhsinc.com,Principal: Marceia Ashe,A,(901) 373-0931,(901) 373-0994,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","2911 Brunswick RD, Memphis, TN 38133",POINT (-89.7705921 35.2064095),-89.7705921,35.2064095
MID CUMBERLAND CORE REGIONAL OFFICE,9220,DICKSON COUNTY PRIVATE SCHOOLS,9758,Private,Dickson,Burns Christian Academy,Lchapman@BurnsChristianAcademy.com,Principal: Linda Chapman,A,(615) 513-4709,,"1,2,3,4,5,6,7,8,9,10,11,12","2563 Jones Creek Rd., White Bluff, TN 37187",POINT (-87.2586252 36.1118384),-87.2586252,36.1118384
UPPER CUMBERLAND CORE REGIONAL OFFICE,9880,VAN BUREN PRIVATE SCHOOLS,9042,Private,Van Buren,Cagle Community Church Home School,nbrock428@yahoo.com,Principal: Nandra Brock,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","13885 State Route 111, Spencer, TN 38585",POINT (-85.46553689999999 35.728936),-85.46553689999999,35.728936
EAST TENNESSEE CORE REGIONAL OFFICE,9730,ROANE COUNTY PRIVATE SCHOOLS,9010,Private,Roane,"Calvary Baptist School, Kingston",nrtapp@juno.com,Principal: Jeff Plemmons,A,(865) 376-5850,(865) 376-5850,"K,1,2,3,4,5,6,7,8,9,10,11,12","900 Sturgess ST, Kingston, TN 37763",POINT (-84.51078989999999 35.8790037),-84.51078989999999,35.8790037
EAST TENNESSEE CORE REGIONAL OFFICE,9070,CAMPBELL COUNTY PRIVATE SCHOOLS,9022,Private,Hamilton,Calvary Christian Academy,carolinacurtiss@birch.net,Principal: Norma Welch,A,(423) 562-7267,(423) 562-7263,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","2139 Jacksboro PIKE, La Follette, TN 37766",POINT (-84.15773399999999 36.3480244),-84.15773399999999,36.3480244
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9021,Private,Campbell,Calvary Christian School,calvary4601@epbfi.com,Principal: Dan Davis,A,(423) 622-2181,(423) 622-0150,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","4601 North Terrace AVE, Chattanooga, TN 37411",POINT (-85.234765 35.00837000000001),-85.234765,35.00837000000001
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,30,BENTON COUNTY,25,Public,Benton,Camden Central High School,shawn.mcdowell@bcos.org,Principal: Shawn McDowell,A,(731) 584-7254,(731) 584-2799,"9,10,11,12","115 Schools DR, Camden, TN 38320",POINT (-88.10533909999999 36.0710308),-88.1053391,36.0710308
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,9030,BENTON COUNTY PRIVATE SCHOOLS,9018,Private,Benton,Camden United Christian Academy,cucacougars93@gmail.com,Principal: Mark Kurtz,A,(731) 584-6958,,"K,1,2,3,4,5,6,7,8,9,10,11,12","178 Hummingbird CIR, Camden, TN 38320",POINT (-88.10480679999999 36.05575049999999),-88.10480679999999,36.05575049999999
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,2,Public,Campbell,Campbell Co Adult High School,goinsr@k12tn.net,Principal: Dr. Rita Goins,A,(423) 566-5436,(423) 562-5219,"9,10,11,12","318 W. Beech ST, Lafollette, TN 37766",POINT (-84.12398039999999 36.3764526),-84.1239804,36.3764526
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,3,Public,Campbell,Campbell County Comprehensive High School,jamie.wheeler@ccpstn.net,Principal: Jamie Wheeler,A,(423) 562-8308,(423) 566-2016,"9,10,11,12","150 Cougar LN, Jacksboro, TN 37757",POINT (-84.1493248 36.3527731),-84.1493248,36.3527731
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9060,BRADLEY COUNTY PRIVATE SCHOOLS,9730,Private,Bradley,Candies Creek Academy,ccacademy@candiescreek.com,Principal: Josh Brown,A,(423) 479-3731,,"K,1,2,3,4,5,6,7,8,9,10,11,12","294 Old Eureka RD, Charleston, TN 37310",POINT (-84.8578926 35.2727181),-84.8578926,35.2727181
MID CUMBERLAND CORE REGIONAL OFFICE,190,DAVIDSON COUNTY,77,Public,Davidson,Cane Ridge High School,michel.wall@mnps.org,Principal: Mrs. Michel Sanchez-Wall,A,,,"9,10,11,12","12848 Old Hickory BLVD, Antioch, TN 37013",POINT (-86.6197308 36.029865),-86.6197308,36.029865
UPPER CUMBERLAND CORE REGIONAL OFFICE,80,CANNON COUNTY,16,Public,Cannon,Cannon County High School,courtney.nichols@ccstn.net,Principal: Mr. Courtney Nichols,A,(629) 218-3197,(615) 563-2218,"9,10,11,12","1 Lion DR, Woodbury, TN 37190",POINT (-86.05781949999999 35.8220825),-86.0578195,35.8220825
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,345,Public,Knox,Career Magnet Academy,leanne.hawn@knoxschools.org,Principal: Leanne Hawn,A,(865) 594-1731,,"9,10,11,12","7201 Strawberry Plains PIKE, Knoxville, TN 37914",POINT (-83.78240819999999 36.0016924),-83.78240819999999,36.0016924
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,9093,HUNTINGDON PRIVATE SCHOOLS,9012,Private,Carroll,Carroll Academy,sspellings@carroll.tn.org,Principal: DeAnn Spellings,A,(731) 986-1350,(731) 986-1348,"6,7,8,9,10,11,12","625 High ST, Huntingdon, TN 38344",POINT (-88.41022199999999 36.022371),-88.41022199999999,36.022371
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,90,CARROLL COUNTY,7,Public,Carroll,Carroll Co Tech Center,dstokes@carrollschools.com,Principal: Dennis Stokes,A,(731) 986-8908,(731) 986-3200,"10,11,12","1235 Buena Vista RD, Huntingdon, TN 38344",POINT (-88.383967 36.006092),-88.383967,36.006092
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,4,Public,Carter,Carter County Online Academy,CCOA@carterk12.net,Principal: Danny McClain,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","305 Academy ST, Elizabethton, TN 37643",POINT (-82.2126092 36.3508599),-82.2126092,36.3508599
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,35,Public,Knox,Carter High School,angie.messer@knoxschools.org,Principal: Angela Messer,A,(865) 933-3434,(865) 932-8180,"9,10,11,12","210 N Carter School RD, Strawberry Plains, TN 37871",POINT (-83.7175283 36.0267735),-83.7175283,36.0267735
